country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,,,,,,,,,,,,,,,,3.62,,,9,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,1.09,,6.73,,,8.4,,,9.89
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,2.43,6.1,4.25,,,8.44,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,11.5,11.7,11.7,12.2,12.2,15.3,16.4,15.5,13.9,12.5,11.2,10.6,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,,,,,,11.1,12.3,13.3,14.7,,13.2,,,,14.8,16.5,13.1,12.2,9.87,8.66,,9.05,,,,,,,,,
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,,,,,,,,,1.18,1.96,,1.77,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,8.35,7.24,,5.92,6.55,5.83,5.39,5.57,5.23,5.63,,,6.39,7.26,7.95,9.17
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,20.2,16.8,17.3,16.1,16.1,15,16.2,18,16.8,17.4,18.4,17.8,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88,3.84,3.79,4.92,7.18,6.43,5.92,5.84,5.96,5.26,4.59,5.09,7.31,8.28,8.62,7.63,6.63,6.61,6.56,6.1,5.46,5.04,5.3,5.04,4.71,4.14,3.86,3.69,3.39,3.36,4.54,4.04,3.94,4.05,4.56,4.84,4.87,4.5,4.41,4.12,4,5.17
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,3.64,3.48,3.43,2.89,3.49,3.29,2.91,2.99,3.24,3.31,3.96,3.29,4.12,5.11,4.76,5.04,4.53,4.27,3.58,4.44,4.25,4.83,4.85,4.6,4.24,3.61,4.72,4.38,3.98,4.33,4.9,5.19,5.18,5.42,5.14,4.41,4.17,4.96
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,9.75,8.56,7.57,7.17,5.92,5.56,5.06,5.06,4.58,4.66,4.33,4.25,4.09,3.96,3.95,4.02,4.16,4.07,4.07,3.99,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,1.36,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.49,9.66,9.47,9.8,9.79,9.1,7.5,6.47,6.29,6.09,7.07,8.41,8.26,8.56,7.88,8.37,7.38,5.83,5.39,6.2,6.95,6.59,7.39,7.24,6.59,6.1,6.78,7.31,6.37,6.74,7.37,7.62,7.68,7.11,6.25,5.37,4.77,4.99
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,0.71,,,,,,,,0.85,2.18,,,,,,,1.09,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98,,,,4.18,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,0.41,,,,,,,1.17,,,,1.02,,,3.88,,2.86,2.47,,,,2.46,,,3.31,,,3.21,2.98,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,17.6,16.4,12.7,11,9.04,8.03,6.07,4.91,5.99,9.36,10.5,11.3,11.8,10.5,8.46,7.12,5.85,4.98,4.11,4.95
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,0.73,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,,,,,,,,5.71,,,,,8.19,,8.25,,5.86,6.85,12.8,,12.1,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,26,21.2,21.9,24.9,25.4,25.7,25.6,25.9,25.5,23.8,19.7,17.8,15.9,14.7
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39,5.13,4.08,3.63,3.35
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97,5.69,5.31,4.78,4.37,,6.13,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2.48,5.88,,5.76,6.09,7.5,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20.9,,,,,,,,2.9,,,,,,,,,,,,,2.04,2.61,,1.61,1.97,2.14,1.56,2.71,3.29,3.58,3.34,3.38,7.3
